Feature                Corr  BestAcc  PosMean  NegMean
-------------------------------------------------------
conf_delta            0.123    0.780    0.118    0.071
addr_sim              0.168    0.780   91.449   84.211
addr_len_delta        0.196    0.780    0.753   -4.174
confidence            0.070    0.770    0.884    0.859
web_sim               0.035    0.770   73.575   70.792
has_phone             0.092    0.770    0.987    0.957
has_web               0.062    0.770    0.948    0.913
base_confidence      -0.152    0.760    0.766    0.788
base_addr_len        -0.165    0.760   21.857   25.565
has_base_web         -0.055    0.760    0.987    1.000
phone_sim             0.113    0.750   87.501   81.151
has_base_phone       -0.078    0.750    0.974    1.000
addr_len              0.046    0.740   22.610   21.391
