Method,Variant,accuracy,f1_macro,n,f1_alt,f1_both,f1_base
XGBoost 3-class,raw,0.44,0.3521892019148245,200,0.47572815533980584,0.45962732919254656,0.12121212121212122
XGBoost per-attr ensemble (3-class),raw,0.505,0.2774354460093897,200,0.0,0.676056338028169,0.15625
Phase5 confidence baseline,raw,0.62,0.39100790846373884,200,0.29333333333333333,0.784452296819788,0.09523809523809523
Phase5 XGBoost 3-class,raw,0.585,0.26588126588126587,200,0.0,0.7435897435897436,0.05405405405405406
SLM (Gemma3 4B),raw,0.155,0.08946608946608947,200,0.0,0.0,0.2683982683982684
SLM (Kimi),raw,0.235,0.22280844155844157,200,0.34375,0.0,0.3246753246753247
SLM (GPT-4o mini),raw,0.155,0.08946608946608947,200,0.0,0.0,0.2683982683982684
SLM Recalculated,recalculated,0.57,0.39911957643131557,200,0.22535211267605634,0.7306273062730627,0.2413793103448276
Google API,recalculated,0.26,0.14792689942032833,200,0.411522633744856,0.03225806451612903,0.0
Scrape + search,recalculated,0.27,0.22776717268127142,200,0.07017543859649122,0.3333333333333333,0.27979274611398963
