Method,Variant,accuracy,f1_macro,n,f1_alt,f1_both,f1_base
XGBoost 3-class,raw,0.56,0.44525252525252523,100,0.6666666666666666,0.509090909090909,0.16
Phase5 confidence baseline,raw,0.44,0.33831655600771043,100,0.2857142857142857,0.591304347826087,0.13793103448275862
Phase5 XGBoost 3-class,raw,0.34,0.19304029304029302,100,0.0,0.5076923076923077,0.07142857142857142
SLM (GPT-4o mini),raw,0.23,0.12466124661246612,100,0.0,0.0,0.37398373983739835
SLM (Kimi),raw,0.38,0.3073529411764706,100,0.475,0.0,0.4470588235294118
SLM (GPT-4o mini alt),raw,0.23,0.12466124661246612,100,0.0,0.0,0.37398373983739835
SLM (GPT-4o mini),recalculated,0.33,0.23084105437046612,100,0.0,0.48739495798319327,0.20512820512820512
SLM (Kimi),recalculated,0.41,0.3538979803130746,100,0.2641509433962264,0.5272727272727272,0.2702702702702703
SLM (GPT-4o mini alt),recalculated,0.49,0.4088888888888889,100,0.5066666666666667,0.56,0.16
Google API,recalculated,0.41,0.19664268585131894,100,0.5899280575539568,0.0,0.0
Scrape + search,recalculated,0.32,0.2921774160397912,100,0.08888888888888889,0.41509433962264153,0.37254901960784315
